item_id,title,genre,release_date,popularity_score,quality_score,price,duration_minutes,language,rating_avg,rating_count
item_000000,Horizontal uniform framework,Fantasy,2024-05-16,0.429,0.608,22.66,84,Spanish,4.5,4452
item_000001,Reduced stable matrix,Western,2024-08-25,0.192,0.732,21.18,65,English,3.8,9624
item_000002,Organized national matrices,Family,2019-06-13,0.105,0.5,8.02,165,Spanish,3.9,870
item_000003,Reactive well-modulated moratorium,Comedy,2019-10-08,0.109,0.803,12.98,150,English,4.0,2262
item_000004,Inverse content-based standardization,Action,2018-05-21,0.133,0.461,0.0,170,Spanish,3.2,7803
item_000005,Networked discrete time-frame,Thriller,2020-02-08,0.311,1.0,0.0,81,French,3.0,979
item_000006,Intuitive value-added leverage,Animation,2023-01-19,0.659,0.843,19.91,89,Japanese,4.2,621
item_000007,Multi-tiered human-resource protocol,Documentary,2023-12-03,0.043,0.785,13.11,75,English,5.0,6514
item_000008,Streamlined coherent methodology,Thriller,2025-08-24,0.176,0.88,6.39,104,English,2.0,9315
item_000009,De-engineered motivating parallelism,Comedy,2019-04-26,0.2,1.0,27.92,115,French,3.4,8911
item_000010,Cross-platform leadingedge attitude,War,2021-04-04,0.079,0.49,15.31,64,Japanese,3.4,3169
item_000011,Persevering 24/7 success,Comedy,2017-06-09,0.349,0.502,0.0,114,Spanish,4.2,4225
item_000012,Streamlined coherent archive,Documentary,2020-09-10,0.091,0.616,0.0,33,French,4.4,9312
item_000013,Fundamental global process improvement,Drama,2022-12-04,0.062,1.0,0.0,74,Japanese,4.6,6653
item_000014,Streamlined attitude-oriented groupware,Romance,2024-07-09,0.577,0.737,15.93,52,German,4.0,3037
item_000015,Public-key homogeneous functionalities,Crime,2022-04-07,0.626,0.912,14.84,93,English,2.8,3868
item_000016,Virtual mobile moratorium,Science Fiction,2016-05-10,0.414,0.821,22.85,114,French,3.7,9396
item_000017,Cloned disintermediate product,Action,2022-11-04,0.274,0.73,0.0,96,French,4.1,1027
item_000018,Horizontal discrete synergy,Comedy,2016-11-25,0.189,0.652,14.49,70,German,4.1,5105
item_000019,Cross-platform well-modulated productivity,Comedy,2023-01-14,0.216,1.0,0.0,105,French,3.8,3600
item_000020,Cross-platform leadingedge concept,Crime,2022-12-09,0.242,0.876,0.0,152,Spanish,3.4,9934
item_000021,Assimilated 6thgeneration Graphic Interface,Music,2023-12-17,0.485,0.971,0.0,136,Japanese,4.7,8816
item_000022,Implemented heuristic hub,Drama,2020-04-21,0.426,0.528,23.08,50,Japanese,3.3,5937
item_000023,Fully-configurable multi-tasking installation,Animation,2021-08-28,0.455,1.0,0.0,174,English,2.2,8982
item_000024,Enterprise-wide composite conglomeration,War,2016-10-14,0.194,0.984,6.85,167,Spanish,2.5,8535
item_000025,Multi-tiered regional software,Science Fiction,2018-05-28,0.419,1.0,4.36,82,Japanese,3.5,8371
item_000026,Reduced client-server emulation,Science Fiction,2020-08-10,0.117,0.512,24.44,146,Spanish,3.5,7494
item_000027,Function-based logistical extranet,Adventure,2022-08-31,0.324,1.0,17.2,108,English,3.2,59
item_000028,Persistent executive service-desk,Drama,2021-06-18,0.134,0.497,0.0,178,English,2.1,5654
item_000029,Compatible leadingedge hardware,Animation,2025-11-15,0.359,0.739,16.68,45,English,5.0,7744
item_000030,Innovative scalable interface,Adventure,2022-11-25,0.091,0.795,9.32,76,Spanish,4.3,6897
item_000031,Persevering exuding customer loyalty,Music,2025-12-28,0.084,1.0,29.78,127,German,4.6,6194
item_000032,Polarized bi-directional encoding,Mystery,2019-10-24,0.524,0.67,3.32,168,Spanish,4.0,5707
item_000033,Multi-channeled object-oriented frame,Comedy,2025-12-04,0.398,0.495,6.17,167,German,3.6,3658
item_000034,Implemented 3rdgeneration protocol,Action,2019-12-15,0.483,1.0,22.92,106,German,4.0,8930
item_000035,Advanced non-volatile software,Romance,2023-10-13,0.214,0.581,16.42,88,Spanish,3.4,2551
item_000036,Business-focused real-time synergy,Fantasy,2020-12-18,0.203,0.504,6.46,58,English,4.4,6878
item_000037,Horizontal zero-defect website,Action,2018-04-19,0.234,0.341,7.97,47,English,3.8,7324
item_000038,Multi-channeled directional productivity,Adventure,2017-11-24,0.112,0.736,8.09,41,German,3.3,8853
item_000039,Function-based systematic system engine,Drama,2023-03-17,0.311,0.99,22.87,44,Spanish,3.5,4749
item_000040,Switchable systemic challenge,Family,2022-04-12,0.563,0.507,24.65,177,French,3.7,5263
item_000041,Self-enabling secondary analyzer,Family,2019-02-01,0.449,0.921,9.74,66,Japanese,2.7,4933
item_000042,Organic 5thgeneration paradigm,Fantasy,2019-08-24,0.133,0.728,0.0,45,Japanese,4.8,2879
item_000043,De-engineered background frame,Romance,2019-04-07,0.259,0.801,17.11,42,French,4.8,6254
item_000044,Operative context-sensitive customer loyalty,War,2017-04-26,0.278,0.619,10.23,136,German,2.4,6177
item_000045,Quality-focused high-level moderator,Documentary,2021-01-06,0.302,0.787,22.87,151,Spanish,4.5,4937
item_000046,Future-proofed composite extranet,Crime,2025-02-20,0.116,0.565,24.36,44,Japanese,3.2,6834
item_000047,Polarized explicit synergy,Western,2024-09-13,0.251,0.671,16.36,129,Spanish,2.8,5421
item_000048,Customizable maximized archive,Animation,2017-05-28,0.12,0.785,27.73,124,English,3.6,3130
item_000049,Face-to-face systematic success,Adventure,2022-09-28,0.302,0.977,8.78,40,English,2.6,9636
item_000050,Object-based next generation hierarchy,Western,2016-11-24,0.222,1.0,0.0,85,German,2.6,5465
item_000051,Object-based 24/7 firmware,History,2021-05-13,0.563,0.759,28.74,33,Spanish,4.8,1932
item_000052,Persevering holistic service-desk,Thriller,2023-06-28,0.171,0.678,0.0,92,Japanese,4.1,6508
item_000053,Fundamental optimal implementation,Family,2024-03-22,0.183,0.449,17.0,102,German,3.4,5896
item_000054,Multi-layered bi-directional service-desk,History,2018-05-03,0.559,0.466,0.0,96,French,3.5,8157
item_000055,Assimilated regional open architecture,Science Fiction,2019-04-12,0.329,0.735,3.85,150,French,4.7,6083
item_000056,Seamless directional project,Horror,2016-08-17,0.111,0.656,0.0,135,English,3.7,3635
item_000057,Persistent tangible framework,Crime,2022-06-28,0.389,0.896,0.0,34,French,3.7,9578
item_000058,Customizable client-driven analyzer,Romance,2025-06-17,0.02,0.977,9.55,80,French,2.7,9345
item_000059,Innovative modular budgetary management,Family,2016-12-20,0.215,1.0,15.47,116,French,4.3,8015
item_000060,Public-key client-driven info-mediaries,Thriller,2020-07-14,0.402,0.657,14.35,120,Spanish,2.4,8964
item_000061,Synchronized value-added standardization,Thriller,2025-06-16,0.191,0.663,6.33,168,English,3.6,1227
item_000062,Operative optimizing synergy,Adventure,2023-04-07,0.207,0.71,23.16,135,Spanish,4.5,3801
item_000063,Operative solution-oriented attitude,Animation,2024-05-02,0.318,0.944,21.5,32,Spanish,3.5,6124
item_000064,Seamless incremental focus group,Adventure,2016-04-28,0.12,0.795,0.0,153,German,2.0,8729
item_000065,Multi-layered didactic intranet,Western,2020-06-11,0.129,0.801,12.92,34,Japanese,4.2,8787
item_000066,Front-line high-level attitude,History,2025-10-22,0.026,1.0,0.0,34,Japanese,4.4,7064
item_000067,Multi-layered needs-based project,Documentary,2019-08-02,0.285,0.334,4.09,54,Japanese,2.4,3154
item_000068,Object-based even-keeled core,War,2025-09-05,0.127,0.452,8.31,120,French,4.4,1304
item_000069,Persevering background protocol,Music,2018-02-12,0.464,0.766,0.0,133,German,3.7,3710
item_000070,Sharable radical adapter,History,2016-07-02,0.342,0.763,20.83,50,English,2.3,6223
item_000071,Managed dynamic capacity,Mystery,2023-11-13,0.116,0.769,0.0,171,German,2.2,164
item_000072,Expanded asymmetric task-force,Documentary,2021-07-16,0.813,0.694,0.0,51,German,4.5,5437
item_000073,Reverse-engineered didactic emulation,Comedy,2019-04-14,0.348,0.747,26.94,40,Spanish,2.6,9296
item_000074,Digitized zero tolerance policy,Thriller,2016-01-10,0.11,0.71,0.0,99,English,4.8,4603
item_000075,Digitized clear-thinking moratorium,Western,2018-07-03,0.211,0.641,17.33,38,Spanish,4.8,5162
item_000076,Enhanced bifurcated protocol,Action,2024-08-30,0.622,0.757,0.0,83,Japanese,2.4,6535
item_000077,De-engineered 24/7 help-desk,Animation,2023-11-24,0.232,1.0,0.0,106,Spanish,3.7,9294
item_000078,Front-line optimizing Graphic Interface,Mystery,2016-02-26,0.1,0.441,0.0,168,French,3.2,2302
item_000079,Fundamental actuating capacity,Animation,2023-06-01,0.498,0.914,15.51,118,English,2.3,3813
item_000080,Progressive bifurcated synergy,Animation,2016-08-19,0.181,0.404,10.87,131,French,2.1,4488
item_000081,Organized zero-defect hierarchy,Science Fiction,2021-02-16,0.089,0.767,0.0,155,Spanish,3.1,6160
item_000082,Customer-focused local middleware,Romance,2018-03-19,0.116,0.7,6.38,179,German,2.3,4849
item_000083,Seamless 6thgeneration superstructure,Family,2023-10-31,0.103,0.707,21.67,51,French,2.5,2537
item_000084,Switchable multi-state framework,Mystery,2020-07-30,0.223,0.847,10.17,57,English,2.0,5060
item_000085,Assimilated analyzing matrices,Science Fiction,2024-06-21,0.145,0.425,11.43,99,English,2.4,3080
item_000086,Optimized systemic benchmark,Romance,2020-11-24,0.177,0.51,0.0,144,Japanese,3.7,6695
item_000087,Organic asynchronous artificial intelligence,Comedy,2019-03-21,0.096,0.653,1.75,120,Japanese,2.3,9808
item_000088,Digitized asymmetric capacity,Horror,2018-09-30,0.416,0.774,26.04,33,French,3.2,1397
item_000089,Sharable optimal neural-net,Western,2023-02-13,0.205,0.538,27.24,92,Japanese,3.6,6247
item_000090,Multi-tiered radical moderator,Documentary,2018-12-12,0.084,0.614,5.02,107,French,3.5,1046
item_000091,Profit-focused real-time Internet solution,Documentary,2016-12-27,0.427,0.701,13.6,137,French,3.5,1270
item_000092,Total bifurcated projection,Music,2022-07-04,0.04,0.554,8.29,93,German,3.8,3213
item_000093,Visionary neutral success,Science Fiction,2024-08-26,0.604,0.672,4.09,107,English,4.8,5453
item_000094,Optional local emulation,Mystery,2020-02-19,0.228,0.874,0.0,114,German,3.0,9748
item_000095,Persevering impactful instruction set,Crime,2023-04-18,0.247,0.938,9.7,81,German,2.9,6534
item_000096,Intuitive interactive functionalities,Horror,2022-08-25,0.236,0.946,9.44,155,Japanese,4.3,5349
item_000097,Multi-layered coherent software,Mystery,2025-03-24,0.584,0.807,0.0,101,German,3.1,9248
item_000098,Cloned background artificial intelligence,Drama,2016-12-05,0.277,0.911,18.16,169,Spanish,4.0,9022
item_000099,Cross-platform value-added support,Action,2019-09-22,0.16,0.913,0.0,148,Spanish,3.3,4783
item_000100,De-engineered next generation approach,Animation,2021-11-11,0.498,0.762,24.74,134,German,2.4,4971
item_000101,Realigned next generation groupware,Family,2022-09-12,0.324,0.756,8.32,69,German,4.4,1221
item_000102,Open-source heuristic secured line,Science Fiction,2025-05-29,0.707,0.679,29.72,152,Japanese,3.2,8310
item_000103,Optimized uniform application,Romance,2025-09-06,0.153,0.799,16.76,122,Japanese,3.8,1402
item_000104,Right-sized fault-tolerant help-desk,Comedy,2017-01-12,0.338,0.534,23.29,120,Spanish,3.9,735
item_000105,Profit-focused didactic collaboration,Mystery,2022-07-26,0.398,0.626,0.0,114,German,2.3,1625
item_000106,Face-to-face bi-directional hardware,Fantasy,2024-06-14,0.123,0.804,0.0,86,Japanese,4.2,9152
item_000107,Multi-layered bifurcated task-force,Family,2018-10-13,0.296,0.265,13.92,130,German,4.3,9653
item_000108,Face-to-face interactive open architecture,War,2025-09-29,0.352,0.766,5.36,36,German,2.3,6825
item_000109,Secured reciprocal service-desk,Animation,2022-06-04,0.507,0.721,4.36,66,French,2.9,7470
item_000110,Assimilated real-time protocol,Drama,2024-04-17,0.529,0.696,16.1,119,German,2.3,7422
item_000111,Future-proofed 4thgeneration contingency,Horror,2018-09-24,0.11,0.505,0.0,47,French,2.1,1895
item_000112,Virtual fault-tolerant Graphical User Interface,Action,2019-07-05,0.389,0.589,25.62,57,Spanish,4.8,4006
item_000113,Enterprise-wide client-server open system,War,2022-07-28,0.209,0.346,6.05,70,French,3.7,7580
item_000114,Cloned client-server support,Family,2022-04-30,0.616,0.683,24.12,77,Spanish,3.9,7090
item_000115,Assimilated background synergy,Mystery,2021-04-20,0.27,0.793,0.0,37,Japanese,4.6,7375
item_000116,Multi-tiered intangible knowledgebase,Romance,2019-05-29,0.172,0.961,12.27,84,Spanish,2.8,1035
item_000117,Multi-layered fault-tolerant success,Comedy,2019-03-29,0.399,0.702,24.18,167,Spanish,3.1,3238
item_000118,Re-contextualized radical artificial intelligence,Science Fiction,2024-10-30,0.229,0.742,0.0,59,French,4.0,8029
item_000119,Distributed cohesive system engine,War,2022-03-05,0.181,0.521,29.0,110,Japanese,3.2,6441
item_000120,Synergistic attitude-oriented flexibility,Comedy,2020-06-05,0.28,0.862,0.0,119,French,4.5,2836
item_000121,Optimized mobile portal,History,2020-06-01,0.139,0.623,0.0,51,Spanish,2.9,3918
item_000122,Future-proofed didactic system engine,History,2021-02-13,0.282,0.754,4.38,125,Spanish,3.5,6862
item_000123,Monitored intermediate budgetary management,Crime,2018-10-30,0.109,0.936,0.0,177,German,3.3,7983
item_000124,Synergistic optimizing matrix,Western,2021-04-07,0.245,0.415,0.0,74,Japanese,2.5,4742
item_000125,Integrated 6thgeneration definition,Crime,2019-12-13,0.409,0.577,0.0,77,French,4.5,888
item_000126,Right-sized analyzing ability,Music,2018-01-15,0.091,0.866,28.59,154,Spanish,2.6,6300
item_000127,Extended zero administration challenge,Western,2023-08-22,0.402,0.959,0.0,159,German,3.2,8066
item_000128,Implemented fresh-thinking capability,Romance,2016-01-28,0.134,0.67,0.0,143,German,2.5,9273
item_000129,User-friendly intermediate conglomeration,Action,2017-04-15,0.174,0.699,0.0,86,French,2.1,3693
item_000130,Public-key tertiary emulation,Western,2020-12-31,0.207,1.0,9.36,147,Japanese,4.2,8125
item_000131,Synchronized heuristic archive,Western,2019-12-20,0.08,0.481,15.8,176,English,2.8,8908
item_000132,User-centric 6thgeneration Internet solution,Music,2016-03-08,0.053,0.749,0.0,168,English,4.3,7241
item_000133,Compatible foreground orchestration,Western,2020-04-16,0.08,0.331,7.33,138,English,4.2,4065
item_000134,Open-architected tertiary productivity,History,2020-03-04,0.361,0.668,26.36,38,German,2.8,1435
item_000135,Customizable impactful adapter,Science Fiction,2025-08-29,0.311,0.621,26.08,60,Spanish,2.6,9642
item_000136,Down-sized regional knowledgebase,Music,2024-04-26,0.284,0.842,25.96,139,Spanish,3.8,3395
item_000137,Multi-lateral background Internet solution,Drama,2024-06-10,0.193,1.0,24.35,175,French,3.6,9788
item_000138,Fully-configurable intermediate parallelism,Western,2020-01-01,0.175,0.553,0.0,73,French,4.9,4804
item_000139,Configurable hybrid function,History,2023-06-16,0.521,0.683,17.6,161,English,2.4,6753
item_000140,Face-to-face full-range time-frame,Adventure,2017-09-05,0.2,0.745,29.77,62,Spanish,2.7,5287
item_000141,Profound scalable budgetary management,Family,2021-04-21,0.253,0.892,23.07,130,German,2.4,4412
item_000142,Ergonomic zero-defect hardware,Romance,2019-07-05,0.272,1.0,11.87,49,English,3.2,4568
item_000143,Stand-alone client-server encoding,Music,2017-01-09,0.239,0.63,14.18,154,French,3.7,1536
item_000144,Function-based dedicated conglomeration,Science Fiction,2022-01-08,0.197,0.222,19.4,121,English,4.4,6526
item_000145,Virtual well-modulated projection,Drama,2016-10-01,0.303,0.803,29.07,84,German,2.8,4656
item_000146,Visionary responsive methodology,Horror,2020-08-20,0.186,0.578,16.86,63,Japanese,4.6,5641
item_000147,Re-contextualized well-modulated paradigm,Adventure,2020-06-26,0.412,0.71,0.0,41,English,3.9,7539
item_000148,Re-contextualized secondary productivity,Action,2025-11-11,0.452,0.773,4.59,70,German,3.4,7019
item_000149,Inverse responsive functionalities,Drama,2017-07-04,0.421,0.77,29.87,63,French,2.5,4499
item_000150,Cloned methodical intranet,Animation,2022-04-24,0.233,0.989,19.97,94,English,3.1,2721
item_000151,Grass-roots optimizing approach,Adventure,2019-07-08,0.31,0.749,0.0,131,French,4.2,3846
item_000152,Compatible fault-tolerant Local Area Network,Romance,2020-07-07,0.016,0.545,0.0,53,English,2.0,7822
item_000153,Centralized holistic forecast,Animation,2016-10-06,0.658,0.706,0.0,63,Japanese,2.7,7301
item_000154,Cross-group reciprocal policy,Action,2021-01-25,0.123,0.772,0.0,32,French,4.5,6929
item_000155,Persistent optimal neural-net,Crime,2025-07-16,0.227,0.159,0.0,152,English,2.7,1473
